timestamp,batteryId,ambientTemp,batteryCurrent,batteryTemp,batteryVoltage,distance,kmh,stateOfCharge,stateOfHealth
2025-02-06 16:07:33.238000+00:00,1,20.4,75.72,36.2,399.98,0.41,126.19,0.9981,98.0
2025-02-06 16:07:35.825000+00:00,1,20.4,73.56,36.2,399.97,0.52,124.27,0.9977,98.0
2025-02-06 16:07:38.980000+00:00,1,20.4,85.9,36.2,399.96,0.63,133.93,0.9971,98.0
2025-02-06 16:07:41.790000+00:00,1,20.4,78.22,36.2,399.96,0.74,128.41,0.9966,98.0
2025-02-06 16:07:44.777000+00:00,1,20.4,72.94,36.2,399.95,0.84,123.72,0.9962,98.0
2025-02-06 16:07:47.780000+00:00,1,20.4,62.66,36.2,399.95,0.93,114.58,0.9958,98.0
2025-02-06 16:07:50.778000+00:00,1,20.4,68.08,36.2,399.96,1.03,119.4,0.9954,98.0
2025-02-06 16:07:53.775000+00:00,1,20.4,75.87,36.2,399.95,1.14,126.32,0.9949,98.0
2025-02-06 16:07:56.781000+00:00,1,20.4,88.04,36.2,399.95,1.25,135.35,0.9943,98.0
2025-02-06 16:07:59.785000+00:00,1,20.4,96.44,36.2,399.94,1.37,140.82,0.9937,98.0
2025-02-06 16:08:02.774000+00:00,1,20.4,92.35,36.2,399.93,1.49,138.22,0.9931,98.0
2025-02-06 16:08:05.800000+00:00,1,20.4,108.6,36.2,399.93,1.61,147.76,0.9924,98.0
2025-02-06 16:08:08.838000+00:00,1,20.4,110.65,36.2,399.92,1.73,148.93,0.9917,98.0
2025-02-06 16:08:11.771000+00:00,1,20.4,128.63,36.2,399.92,1.86,159.2,0.9909,98.0
2025-02-06 16:08:14.782000+00:00,1,20.4,122.4,36.2,399.91,1.99,155.64,0.9901,98.0
2025-02-06 16:08:17.826000+00:00,1,20.4,136.54,36.2,399.9,2.13,163.25,0.9893,98.0
2025-02-06 16:08:20.782000+00:00,1,20.4,135.59,36.2,399.9,2.27,162.78,0.9884,98.0
2025-02-06 16:08:23.787000+00:00,1,20.4,155.22,36.2,399.89,2.41,172.07,0.9874,98.0
2025-02-06 16:08:27.605000+00:00,1,20.4,141.15,36.2,399.9,2.55,165.56,0.9865,98.0
2025-02-06 16:08:29.799000+00:00,1,20.4,127.4,36.2,399.9,2.68,158.5,0.9857,98.0
2025-02-06 16:08:32.776000+00:00,1,20.4,125.8,36.2,399.89,2.81,157.58,0.9849,98.0
2025-02-06 16:08:35.777000+00:00,1,20.4,128.08,36.2,399.89,2.94,158.88,0.9841,98.0
